"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Arraial (PI)";"-"
"Assunção do Piauí (PI)";"-"
"Avelino Lopes (PI)";"-"
"Baixa Grande do Ribeiro (PI)";"812354"
"Barra D'Alcântara (PI)";"-"
"Barras (PI)";"-"
"Barreiras do Piauí (PI)";"33512"
"Barro Duro (PI)";"-"
"Batalha (PI)";"-"
"Bela Vista do Piauí (PI)";"-"
"Belém do Piauí (PI)";"-"
"Beneditinos (PI)";"-"
"Bertolínia (PI)";"-"
"Betânia do Piauí (PI)";"-"
"Boa Hora (PI)";"3619"
"Bocaina (PI)";"-"
"Bom Jesus (PI)";"289716"
"Bom Princípio do Piauí (PI)";"-"
"Bonfim do Piauí (PI)";"-"
"Boqueirão do Piauí (PI)";"-"
"Brasileira (PI)";"-"
"Brejo do Piauí (PI)";"-"
"Buriti dos Lopes (PI)";"-"
"Buriti dos Montes (PI)";"-"
"Cabeceiras do Piauí (PI)";"-"
"Cajazeiras do Piauí (PI)";"-"
"Cajueiro da Praia (PI)";"-"
"Caldeirão Grande do Piauí (PI)";"-"
"Campinas do Piauí (PI)";"-"
"Campo Alegre do Fidalgo (PI)";"-"
"Campo Grande do Piauí (PI)";"-"
"Campo Largo do Piauí (PI)";"-"
"Campo Maior (PI)";"-"
"Canavieira (PI)";"-"
"Canto do Buriti (PI)";"-"
"Capitão de Campos (PI)";"-"
"Capitão Gervásio Oliveira (PI)";"-"
"Caracol (PI)";"-"
"Caraúbas do Piauí (PI)";"-"
"Caridade do Piauí (PI)";"-"
"Castelo do Piauí (PI)";"-"
"Caxingó (PI)";"-"
"Cocal (PI)";"1118"
"Cocal de Telha (PI)";"-"
"Cocal dos Alves (PI)";"-"
"Coivaras (PI)";"-"
"Colônia do Gurguéia (PI)";"-"
"Colônia do Piauí (PI)";"-"
"Conceição do Canindé (PI)";"-"
"Coronel José Dias (PI)";"-"
"Corrente (PI)";"76405"
